,Address,Bathrooms,Bedrooms,Home Size,Lat,Lon,Property Size,Year Built,Zestimate,Zipcode,count_zillow,latitude,longitude,review_count,stars,count_yelp,avg_review,avg_stars,lat,lon,count_school,enrollment,private_school,public_school,charter_school,total_school
1888,40821 N CAPRA WY,2.5,4.0,2469.0,33.86,-112.13,304920.0,2000.0,382975.0,85086,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1889,6325 N 31ST DR,2.0,0.0,1674.0,33.53,-112.13,7074.0,1958.0,185092.0,85017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.53,-112.13,1.0,789.0,0.0,1.0,0.0,1.0
1890,2519 W EMILE ZOLA AVE,2.0,0.0,1204.0,33.61,-112.11,2041.0,1979.0,156511.0,85029,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1891,4213 W LATHAM ST,1.0,0.0,988.0,33.46,-112.15,0.0,1960.0,145227.0,85009,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1892,3707 W LEODRA LN,2.33,0.0,1493.0,33.39,-112.14,5160.0,2006.0,199605.0,85041,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1893,7719 N 19TH AVE,1.0,0.0,1300.0,33.55,-112.1,675.0,1966.0,117568.0,85021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.55,-112.1,2.0,305.0,0.0,1.0,1.0,2.0
1894,6812 N 32ND DR,2.33,0.0,1394.0,33.54,-112.13,5998.0,1952.0,164801.0,85017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1895,1520 E EDGEMONT AVE,1.0,0.0,1014.0,33.48,-112.05,7710.0,1953.0,284159.0,85006,1,33.48,-112.049,212.0,5.5,2.0,106.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1896,5030 S 11TH ST,1.0,3.0,1092.0,33.4,-112.06,653400.0,1965.0,181445.0,85040,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1897,16430 N 32ND WY,0.0,0.0,264.0,33.64,-112.01,6461.0,2004.0,172918.0,85032,1,33.636,-112.012,826.0,270.5,62.0,13.32258064516129,4.362903225806452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1898,2605 E BIGHORN AVE,3.67,0.0,3090.0,33.31,-112.03,16666.0,1991.0,532171.0,85048,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1899,1325 E SHANGRI LA RD,1.0,2.0,924.0,33.59,-112.05,6220.0,1963.0,171649.0,85020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,4058 E WINDROSE DR,2.0,0.0,1248.0,33.6,-111.99,7283.0,1978.0,235295.0,85032,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1901,18223 N 1ST DR,2.0,4.0,1907.0,33.65,-112.08,13554.0,1984.0,299876.0,85023,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902,4215 N 105TH AVE,2.0,2.0,1476.0,33.5,-112.29,5479.0,1971.0,191594.0,85037,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903,1534 E WINDSONG DR,2.67,0.0,1817.0,33.29,-112.05,6804.0,1992.0,319052.0,85048,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,4235 N 99TH LN,2.33,0.0,1417.0,33.5,-112.27,5258.0,1994.0,197470.0,85037,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
