name,type,gradeRange,enrollment,city,state,address,lat,lon,parentRating
Xavier College Preparatory High School,private,9-12,1165,Phoenix,AZ,"4710 North 5th Street, 
Phoenix, AZ  85012",33.505173,-112.06726,5
Arizona Conservatory For Arts And Academics Middle School,charter,6-8,229,Phoenix,AZ,"2820 West Kelton Ln, 
Phoenix, AZ  85053",33.6372,-112.1195
Rcb Medical Arts Academy,charter,7-12,393,Phoenix,AZ,"6049 North 43rd Ave, 
Phoenix, AZ  85019",33.5253,-112.151
Melvin E Sine School,public,PK-8,718,Glendale,AZ,"4932 West Myrtle Ave, 
Glendale, AZ  85301",33.5429,-112.165
Central High School,public,9-12,2251,Phoenix,AZ,"4525 North Central Ave, 
Phoenix, AZ  85012",33.5024,-112.0726,4
Greenway High School,public,9-12,1510,Phoenix,AZ,"3930 W. Greenway Road, 
Phoenix, AZ  85053",33.62637,-112.14356
Roadrunner School,public,PK-12,199,Phoenix,AZ,"3540 East Cholla, 
Phoenix, AZ  85028",33.5905,-112.0053
Heritage School,public,K-8,673,Glendale,AZ,"5312 West Mountain View, 
Glendale, AZ  85302",33.5757,-112.1739,5
Sevilla Primary School,public,K-3,880,Phoenix,AZ,"3801 West Missouri, 
Phoenix, AZ  85019",33.5157,-112.1415
Sevilla West School,public,4-8,1205,Phoenix,AZ,"3851 W. Missouri Ave., 
Phoenix, AZ  85019",33.516205,-112.14362
A Ball Charter School - Hearn Academy,charter,K-8,597,Phoenix,AZ,"17606 N. 7th Ave, 
Phoenix, AZ  85022",33.644943,-112.083244
Intelli-School - Paradise Valley,charter,9-12,105,Phoenix,AZ,"1427 East Bell Rd, 
Phoenix, AZ  85022",33.6411,-112.0579
Southwest Education Center,private,2-12,24,Phoenix,AZ,"4433 North 7th Street, 
Phoenix, AZ  85014",33.500927,-112.06502
Southwest Key Transitional Learning Center,public,K-12,163,Phoenix,AZ,"2613 West Campbell Ave, 
Phoenix, AZ  85017",33.5013,-112.1154
Sunburst School,public,PK-6,576,Glendale,AZ,"14218 N 47th Ave, 
Glendale, AZ  85306",33.615063,-112.16134
Glenn F Burton School,public,K-8,797,Glendale,AZ,"4801 West Maryland Ave, 
Glendale, AZ  85301",33.5306,-112.1629
Crestview College Preparatory High School,charter,7-12,233,Phoenix,AZ,"2616 East Greenway, 
Phoenix, AZ  85032",33.6269,-112.0262
Bourgade Catholic High School,private,9-12,391,Phoenix,AZ,"4602 North 31st Avenue, 
Phoenix, AZ  85017",33.504738,-112.12777
Cactus View Elementary School,public,PK-6,712,Phoenix,AZ,"17602 North Central, 
Phoenix, AZ  85022",33.6466,-112.0749
Granada East School,public,4-8,1142,Phoenix,AZ,"3022 West Campbell, 
Phoenix, AZ  85017",33.5029,-112.1239,4
Aire Libre Elementary School,public,K-6,444,Phoenix,AZ,"16428 North 21st Street, 
Phoenix, AZ  85022",33.63566,-112.038414
Desert Palms Elementary School,public,PK-8,596,Glendale,AZ,"11441 North 55th Ave, 
Glendale, AZ  85304",33.5903,-112.1764
Glendale American School,public,PK-8,791,Glendale,AZ,"8530 North 55th Ave, 
Glendale, AZ  85302",33.5612,-112.1781
Granada Primary School,public,K-3,934,Phoenix,AZ,"3232 West Campbell, 
Phoenix, AZ  85017",33.503,-112.1279,4
Tumbleweed Transitional Learning Center,public,9-12,49,Phoenix,AZ,"950 West Indian School Rd, 
Phoenix, AZ  85013",33.4952,-112.0867
Intelli-School Glendale,charter,9-12,94,Glendale,AZ,"13806 North 51st Ave, 
Glendale, AZ  85306",33.611,-112.1685
Alhambra High School,public,9-12,2770,Phoenix,AZ,"3839 West Camelback Rd, 
Phoenix, AZ  85019",33.5084,-112.1413,4
Madison Park School,public,1-8,423,Phoenix,AZ,"1431 East Campbell, 
Phoenix, AZ  85014",33.5011,-112.0502,4
Phoenix Christian Unified School,private,6-12,315,Phoenix,AZ,"1751 West Indian School Road, 
Phoenix, AZ  85015",33.494545,-112.09509
Madison Highland Prep,charter,9-12,470,Phoenix,AZ,"1431 East Campbell Avenue, 
Phoenix, AZ  85014",33.501,-112.04974
Greenway Middle School,public,7-8,518,Phoenix,AZ,"3002 East Nisbet, 
Phoenix, AZ  85032",33.6234,-112.0173
Village Meadows Elementary School,public,PK-6 & ungraded,470,Phoenix,AZ,"2020 West Morningside Drive, 
Phoenix, AZ  85023",33.649303,-112.10352
Ombudsman - Charter West,charter,9-12,102,Glendale,AZ,"3624 West Bell Rd, 
Glendale, AZ  85308",33.6406,-112.1364
Accelerated Learning Center,charter,9-12,200,Phoenix,AZ,"4105 East Shea Blvd, 
Phoenix, AZ  85028",33.5822,-111.9929
Pvonline,public,K-12,41,Phoenix,AZ,"15002 North 32nd St, 
Phoenix, AZ  85032",33.623463,-112.013824
Madison Camelview Elementary School,public,PK-4,689,Phoenix,AZ,"2002 E. Campbell, 
Phoenix, AZ  85016",33.50335,-112.03795
Marshall Ranch Elementary School,public,PK-8,793,Glendale,AZ,"12995 North Marshall Ranch Dr, 
Glendale, AZ  85304",33.6,-112.179
Sunrise Elementary School,public,PK-6,506,Phoenix,AZ,"17624 North 31st Av, 
Phoenix, AZ  85053",33.6463,-112.1266,4
Our Lady Of Perpetual Help,private,PK-8,300,Glendale,AZ,"7521 North 57th Avenue, 
Glendale, AZ  85301",33.546173,-112.17984,4
Northwest Christian School,private,PK-12,1455,Phoenix,AZ,"16401 N 43rd Ave, 
Phoenix, AZ  85053",33.635204,-112.14936,5
Indian Bend Elementary School,public,PK-6,571,Phoenix,AZ,"3633 E Thunderbird Road, 
Phoenix, AZ  85032",33.6133,-112.0039,5
Carol G. Peck Elementary School,public,K-3,671,Glendale,AZ,"5810 North 49th Ave, 
Glendale, AZ  85301",33.5229,-112.1655
Career Success Jr/Sr High School - North Phoenix,charter,7-12,113,Phoenix,AZ,"2321 East Bell Rd, 
Phoenix, AZ  85022",33.6395,-112.0329
Constitution Elementary School,public,PK-6,680,Phoenix,AZ,"18440 North 15th Ave, 
Phoenix, AZ  85023",33.6536,-112.0924
Clarendon School,public,PK-8,440,Phoenix,AZ,"1225 West Clarendon, 
Phoenix, AZ  85013",33.4907,-112.0887,5
BASIS Phoenix Central,charter,K-8,864,Phoenix,AZ,"201 E. Indianola Ave., 
Phoenix, AZ  85012",33.491695,-112.07101
Palomino Intermediate School,public,4-6,499,Phoenix,AZ,"15815 North 29th St, 
Phoenix, AZ  85032",33.6307,-112.0186
Imagine Bell Canyon,charter,PK-8,405,Phoenix,AZ,"18052 N Black Canyon Hwy., 
Phoenix, AZ  85053",33.6514,-112.11611
Grace Lutheran School,private,PK-8,155,Glendale,AZ,"5600 West Palmaire Avenue, 
Glendale, AZ  85301",33.541035,-112.179955,4
Palomino Primary School,public,PK-3,802,Phoenix,AZ,"15833 North 29th St, 
Phoenix, AZ  85032",33.6321,-112.0189
Career Success High School - Main Campus,charter,9-12,225,Phoenix,AZ,"3816 North 27th Ave, 
Phoenix, AZ  85017",33.4926,-112.1177
